國文,英文,數學,社會,自然
14,15,13,11,6
14,7,12,9,11
8,15,8,15,6
10,14,6,9,10
12,14,10,8,12
11,15,10,8,7
9,10,13,8,10
7,12,14,10,6
8,15,14,15,11
10,13,7,8,12
15,14,9,7,11
6,15,7,14,9
12,15,9,15,9
14,9,14,6,14
9,6,13,14,10
7,13,14,6,6
13,11,6,10,11
13,10,14,12,11
12,10,15,8,12
11,15,9,7,14
7,13,13,8,10
8,7,8,6,8
8,11,15,15,6
10,15,6,11,8
15,14,10,13,10
8,8,14,10,11
11,7,12,13,13
9,15,15,11,6
6,12,9,6,13
14,15,9,9,8
8,11,9,11,12
12,14,10,12,14
6,12,10,10,14
12,10,14,9,12
11,13,7,13,13
14,12,15,8,10
8,13,14,8,15
8,13,9,14,12
11,11,6,12,15
6,13,15,15,12
15,15,9,10,7
6,12,8,8,11
15,10,15,6,12
14,6,9,13,8
12,7,14,9,9
6,11,11,8,11
6,8,9,14,13
7,8,14,9,15
7,14,7,11,13
7,10,8,10,14
9,6,10,6,7
6,11,11,15,9
10,7,12,14,14
15,9,7,15,8
10,11,6,13,13
14,15,7,10,6
15,15,8,7,9
8,10,9,12,15
10,11,11,8,12
10,15,15,15,12
7,14,14,12,7
15,15,15,11,8
7,14,13,12,13
8,9,7,6,6
9,7,9,10,15
13,7,15,11,13
9,9,13,10,11
7,11,6,15,12
9,10,6,8,11
11,10,10,12,10
14,7,14,13,9
12,10,13,10,12
7,10,8,6,15
15,14,11,6,12
12,7,10,14,6
10,14,10,11,8
10,7,8,9,11
6,7,9,11,13
15,9,9,10,14
15,14,8,9,9
7,6,6,12,12
14,7,15,8,14
10,14,11,6,14
7,10,10,12,7
8,10,6,14,12
13,6,8,14,10
9,6,12,15,11
9,15,6,11,8
13,11,9,11,14
9,13,13,12,13
8,8,11,10,10
12,14,13,12,7
7,12,12,14,8
12,13,15,12,13
12,13,8,8,10
12,12,10,13,10
8,7,6,6,7
13,8,12,9,12
13,9,14,9,6
6,14,12,9,14
